requested_depth,protein,samples,mean_ca_rmsd_angstrom,std_ca_rmsd_angstrom,min_ca_rmsd_angstrom,max_ca_rmsd_angstrom
1,crambin,3,10.0053,0.0000,10.0053,10.0053
1,cystatin-b,3,15.4458,0.0000,15.4458,15.4458
1,hbb,3,12.1788,0.0000,12.1788,12.1788
1,interferon_gamma,3,24.9000,0.0000,24.9000,24.9000
1,profilin-1,3,14.7230,0.0000,14.7230,14.7230
8,crambin,3,12.1837,2.1122,10.7018,14.6023
8,cystatin-b,3,17.6231,0.8920,16.5938,18.1708
8,hbb,3,6.3852,0.2238,6.1272,6.5269
8,interferon_gamma,3,21.8234,0.2104,21.6930,22.0661
8,profilin-1,3,16.2963,0.5933,15.8310,16.9644
32,crambin,3,10.6084,0.3990,10.3092,11.0614
32,cystatin-b,3,17.6483,0.9540,16.5761,18.4033
32,hbb,3,6.2925,0.1031,6.1806,6.3837
32,interferon_gamma,3,21.7336,0.0964,21.6230,21.7994
32,profilin-1,3,16.0730,0.0914,15.9686,16.1387
64,crambin,3,10.9522,0.1660,10.8168,11.1374
64,cystatin-b,3,17.5658,0.3104,17.3795,17.9242
64,hbb,3,6.0674,0.0833,5.9786,6.1438
64,interferon_gamma,3,21.4388,0.1400,21.2771,21.5220
64,profilin-1,3,16.2986,0.4603,15.7686,16.5990
192,crambin,3,11.1585,0.2829,10.8817,11.4471
192,cystatin-b,3,17.4582,0.0991,17.3449,17.5288
192,hbb,3,6.1751,0.0165,6.1561,6.1858
192,interferon_gamma,3,21.6445,0.0100,21.6331,21.6520
192,profilin-1,3,16.0037,0.2222,15.8509,16.2586
1,__all_mean__,5,15.4506,5.7047,10.0053,24.9000
8,__all_mean__,5,14.8623,5.8560,6.3852,21.8234
32,__all_mean__,5,14.4712,6.0666,6.2925,21.7336
64,__all_mean__,5,14.4645,6.0098,6.0674,21.4388
192,__all_mean__,5,14.4880,5.9692,6.1751,21.6445
