condition,protein,samples,mean_ca_rmsd_angstrom,std_ca_rmsd_angstrom,min_ca_rmsd_angstrom,max_ca_rmsd_angstrom
column_shuffled,crambin,3,10.7657,0.2059,10.5663,10.9775
column_shuffled,cystatin-b,3,17.0747,0.5015,16.6075,17.6046
column_shuffled,hbb,3,6.2871,0.0515,6.2469,6.3451
column_shuffled,interferon_gamma,3,21.5238,0.2688,21.2174,21.7201
column_shuffled,profilin-1,3,15.7149,0.2029,15.4806,15.8364
query_only,crambin,3,10.0053,0.0000,10.0053,10.0053
query_only,cystatin-b,3,15.4458,0.0000,15.4458,15.4458
query_only,hbb,3,12.1788,0.0000,12.1788,12.1788
query_only,interferon_gamma,3,24.9000,0.0000,24.9000,24.9000
query_only,profilin-1,3,14.7230,0.0000,14.7230,14.7230
real_extra,crambin,3,10.9522,0.1660,10.8168,11.1374
real_extra,cystatin-b,3,17.5658,0.3104,17.3795,17.9242
real_extra,hbb,3,6.0674,0.0833,5.9786,6.1438
real_extra,interferon_gamma,3,21.4388,0.1400,21.2771,21.5220
real_extra,profilin-1,3,16.2986,0.4603,15.7686,16.5990
row_permuted,crambin,3,10.9522,0.1660,10.8168,11.1374
row_permuted,cystatin-b,3,17.5658,0.3104,17.3795,17.9242
row_permuted,hbb,3,6.0674,0.0833,5.9786,6.1438
row_permuted,interferon_gamma,3,21.4388,0.1400,21.2771,21.5220
row_permuted,profilin-1,3,16.2986,0.4603,15.7686,16.5990
column_shuffled,__all_mean__,5,14.2732,5.8860,6.2871,21.5238
query_only,__all_mean__,5,15.4506,5.7047,10.0053,24.9000
real_extra,__all_mean__,5,14.4645,6.0098,6.0674,21.4388
row_permuted,__all_mean__,5,14.4645,6.0098,6.0674,21.4388
