checkpoint,checkpoint_sha256,step,depth,condition,protein,msa_rows,extra_msa_rows,recycles,seed,ca_rmsd_angstrom
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,crambin,1,0,3,42,7.7072
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,cystatin-b,1,0,3,42,11.9708
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,hbb,1,0,3,42,9.4999
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,interferon_gamma,1,0,3,42,22.9268
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,profilin-1,1,0,3,42,13.8519
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,crambin,1,0,3,43,7.7072
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,cystatin-b,1,0,3,43,11.9708
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,hbb,1,0,3,43,9.4999
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,interferon_gamma,1,0,3,43,22.9268
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,profilin-1,1,0,3,43,13.8519
checkpoints/ckpt_runE_profile_dropout_best.pt,a5cefbd0dc8e06886c5d80f128b0e764830eb0a192e213e5909307f75bc341b1,36000,192,sequence_only,crambin,1,0,3,44,7.7072
