checkpoint,checkpoint_sha256,step,depth,condition,protein,msa_rows,extra_msa_rows,recycles,seed,ca_rmsd_angstrom
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,crambin,1,0,3,42,15.5813
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,cystatin-b,1,0,3,42,12.3354
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,hbb,1,0,3,42,7.4562
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,interferon_gamma,1,0,3,42,23.5266
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,profilin-1,1,0,3,42,13.7112
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,crambin,1,0,3,43,15.5813
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,cystatin-b,1,0,3,43,12.3354
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,hbb,1,0,3,43,7.4562
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,interferon_gamma,1,0,3,43,23.5266
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,profilin-1,1,0,3,43,13.7112
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,crambin,1,0,3,44,15.5813
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,cystatin-b,1,0,3,44,12.3354
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,hbb,1,0,3,44,7.4562
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,interferon_gamma,1,0,3,44,23.5266
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,sequence_only,profilin-1,1,0,3,44,13.7112
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,profile_only,crambin,1,0,3,42,14.1169
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,profile_only,cystatin-b,1,0,3,42,12.5166
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,profile_only,hbb,1,0,3,42,6.3405
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,profile_only,interferon_gamma,1,0,3,42,20.3385
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,profile_only,profilin-1,1,0,3,42,14.1617
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,profile_only,crambin,1,0,3,43,14.1169
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,profile_only,cystatin-b,1,0,3,43,12.5166
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,profile_only,hbb,1,0,3,43,6.3405
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,profile_only,interferon_gamma,1,0,3,43,20.3385
checkpoints/ckpt_runD_no_extra.pt,a47c228fef62a3a9369776cb941d45ab2aa210b6705f4817189f2ea440097f1c,250000,192,profile_only,profilin-1,1,0,3,43,14.1617
