condition,protein,samples,mean_ca_rmsd_angstrom,std_ca_rmsd_angstrom,min_ca_rmsd_angstrom,max_ca_rmsd_angstrom
extra_no_profile,crambin,3,10.9521,0.1661,10.8167,11.1374
extra_no_profile,cystatin-b,3,17.5658,0.3104,17.3795,17.9242
extra_no_profile,hbb,3,6.0674,0.0833,5.9786,6.1438
extra_no_profile,interferon_gamma,3,21.4388,0.1400,21.2771,21.5220
extra_no_profile,profilin-1,3,16.2986,0.4603,15.7686,16.5990
extra_plus_profile,crambin,3,10.9522,0.1660,10.8168,11.1374
extra_plus_profile,cystatin-b,3,17.5658,0.3104,17.3795,17.9242
extra_plus_profile,hbb,3,6.0674,0.0833,5.9786,6.1438
extra_plus_profile,interferon_gamma,3,21.4388,0.1400,21.2771,21.5220
extra_plus_profile,profilin-1,3,16.2986,0.4603,15.7686,16.5990
profile_only,crambin,3,10.0053,0.0000,10.0053,10.0053
profile_only,cystatin-b,3,15.4458,0.0000,15.4458,15.4458
profile_only,hbb,3,12.1788,0.0000,12.1788,12.1788
profile_only,interferon_gamma,3,24.9000,0.0000,24.9000,24.9000
profile_only,profilin-1,3,14.7230,0.0000,14.7230,14.7230
sequence_only,crambin,3,10.0053,0.0000,10.0053,10.0053
sequence_only,cystatin-b,3,15.4458,0.0000,15.4458,15.4458
sequence_only,hbb,3,12.1788,0.0000,12.1788,12.1788
sequence_only,interferon_gamma,3,24.9000,0.0000,24.9000,24.9000
sequence_only,profilin-1,3,14.7230,0.0000,14.7230,14.7230
extra_no_profile,__all_mean__,5,14.4645,6.0098,6.0674,21.4388
extra_plus_profile,__all_mean__,5,14.4645,6.0098,6.0674,21.4388
profile_only,__all_mean__,5,15.4506,5.7047,10.0053,24.9000
sequence_only,__all_mean__,5,15.4506,5.7047,10.0053,24.9000
