checkpoint,checkpoint_sha256,step,depth,condition,protein,msa_rows,extra_msa_rows,recycles,seed,ca_rmsd_angstrom
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,crambin,1,0,3,42,10.0053
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,cystatin-b,1,0,3,42,15.4458
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,hbb,1,0,3,42,12.1788
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,interferon_gamma,1,0,3,42,24.9000
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,profilin-1,1,0,3,42,14.7230
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,crambin,1,0,3,43,10.0053
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,cystatin-b,1,0,3,43,15.4458
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,hbb,1,0,3,43,12.1788
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,interferon_gamma,1,0,3,43,24.9000
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,profilin-1,1,0,3,43,14.7230
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,crambin,1,0,3,44,10.0053
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,cystatin-b,1,0,3,44,15.4458
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,hbb,1,0,3,44,12.1788
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,interferon_gamma,1,0,3,44,24.9000
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,query_only,profilin-1,1,0,3,44,14.7230
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,crambin,1,64,3,42,11.1374
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,cystatin-b,1,64,3,42,17.9242
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,hbb,1,64,3,42,6.1438
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,interferon_gamma,1,64,3,42,21.2771
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,profilin-1,1,64,3,42,16.5990
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,crambin,1,64,3,43,10.9023
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,cystatin-b,1,64,3,43,17.3938
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,hbb,1,64,3,43,5.9786
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,interferon_gamma,1,64,3,43,21.5172
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,profilin-1,1,64,3,43,16.5281
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,crambin,1,64,3,44,10.8168
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,cystatin-b,1,64,3,44,17.3795
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,hbb,1,64,3,44,6.0798
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,interferon_gamma,1,64,3,44,21.5220
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,real_extra,profilin-1,1,64,3,44,15.7686
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,row_permuted,crambin,1,64,3,42,11.1374
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,row_permuted,cystatin-b,1,64,3,42,17.9242
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,64,row_permuted,hbb,1,64,3,42,6.1438
