checkpoint,checkpoint_sha256,step,depth,condition,protein,msa_rows,extra_msa_rows,recycles,seed,ca_rmsd_angstrom
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,crambin,1,0,3,42,8.4334
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,cystatin-b,1,0,3,42,12.5386
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,hbb,1,0,3,42,8.9160
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,interferon_gamma,1,0,3,42,20.9630
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,profilin-1,1,0,3,42,16.9839
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,crambin,1,0,3,43,8.4334
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,cystatin-b,1,0,3,43,12.5386
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,hbb,1,0,3,43,8.9160
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,interferon_gamma,1,0,3,43,20.9630
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,profilin-1,1,0,3,43,16.9839
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,crambin,1,0,3,44,8.4334
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,cystatin-b,1,0,3,44,12.5386
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,hbb,1,0,3,44,8.9160
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,interferon_gamma,1,0,3,44,20.9630
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,sequence_only,profilin-1,1,0,3,44,16.9839
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,profile_only,crambin,1,0,3,42,8.4387
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,profile_only,cystatin-b,1,0,3,42,12.5601
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,profile_only,hbb,1,0,3,42,8.8983
checkpoints/ckpt_runE_profile_dropout.pt,980446455aaeb24e8c7d7817618a3d3d4bf829bb14c00d8fd9bb2176e0f775cf,250000,192,profile_only,interferon_gamma,1,0,3,42,20.9394
