condition,protein,samples,mean_ca_rmsd_angstrom,std_ca_rmsd_angstrom,min_ca_rmsd_angstrom,max_ca_rmsd_angstrom
cluster_no_profile,crambin,3,14.2546,0.0174,14.2421,14.2745
cluster_no_profile,cystatin-b,3,12.1842,0.0194,12.1692,12.2061
cluster_no_profile,hbb,3,8.0884,0.0144,8.0750,8.1037
cluster_no_profile,interferon_gamma,3,23.7050,0.0107,23.6939,23.7152
cluster_no_profile,profilin-1,3,13.7696,0.0054,13.7661,13.7758
cluster_plus_profile,crambin,3,14.4329,0.0284,14.4010,14.4554
cluster_plus_profile,cystatin-b,3,13.0224,0.0155,13.0047,13.0336
cluster_plus_profile,hbb,3,6.2360,0.0022,6.2342,6.2384
cluster_plus_profile,interferon_gamma,3,20.5476,0.0056,20.5419,20.5531
cluster_plus_profile,profilin-1,3,14.2243,0.0056,14.2179,14.2280
profile_only,crambin,3,14.1169,0.0000,14.1169,14.1169
profile_only,cystatin-b,3,12.5166,0.0000,12.5166,12.5166
profile_only,hbb,3,6.3405,0.0000,6.3405,6.3405
profile_only,interferon_gamma,3,20.3385,0.0000,20.3385,20.3385
profile_only,profilin-1,3,14.1617,0.0000,14.1617,14.1617
sequence_only,crambin,3,15.5813,0.0000,15.5813,15.5813
sequence_only,cystatin-b,3,12.3354,0.0000,12.3354,12.3354
sequence_only,hbb,3,7.4562,0.0000,7.4562,7.4562
sequence_only,interferon_gamma,3,23.5266,0.0000,23.5266,23.5266
sequence_only,profilin-1,3,13.7112,0.0000,13.7112,13.7112
cluster_no_profile,__all_mean__,5,14.4004,5.7391,8.0884,23.7050
cluster_plus_profile,__all_mean__,5,13.6926,5.0959,6.2360,20.5476
profile_only,__all_mean__,5,13.4948,4.9952,6.3405,20.3385
sequence_only,__all_mean__,5,14.5221,5.8645,7.4562,23.5266
