checkpoint,checkpoint_sha256,step,requested_depth,protein,msa_rows,extra_msa_rows,recycles,seed,ca_rmsd_angstrom
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,crambin,1,0,3,42,10.0053
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,cystatin-b,1,0,3,42,15.4458
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,hbb,1,0,3,42,12.1788
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,interferon_gamma,1,0,3,42,24.9000
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,profilin-1,1,0,3,42,14.7230
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,crambin,1,0,3,43,10.0053
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,cystatin-b,1,0,3,43,15.4458
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,hbb,1,0,3,43,12.1788
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,interferon_gamma,1,0,3,43,24.9000
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,profilin-1,1,0,3,43,14.7230
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,crambin,1,0,3,44,10.0053
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,cystatin-b,1,0,3,44,15.4458
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,hbb,1,0,3,44,12.1788
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,interferon_gamma,1,0,3,44,24.9000
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,1,profilin-1,1,0,3,44,14.7230
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,8,crambin,8,8,3,42,10.7018
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,8,cystatin-b,8,8,3,42,18.1708
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,8,hbb,8,8,3,42,6.5269
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,8,interferon_gamma,8,8,3,42,22.0661
checkpoints/ckpt_runC.pt,9073afa220b47a1c570ed5caa239eacd6f41162263add6ee7e1cf82fcf4ea5ea,250000,8,profilin-1,8,8,3,42,16.0936
